iter	RMSE
0	1260.881888
1	1217.516596
2	1176.258117
3	1136.202547
4	1097.963999
5	1061.479553
6	1026.028518
7	993.8646892
8	961.3109737
9	929.3371109
10	900.561713
11	871.4459971
12	843.5931847
13	817.2521165
14	791.9219585
15	767.5278061
16	744.9009349
17	722.6121
18	701.3952006
19	680.9426358
20	661.3777197
21	643.124178
22	625.7912344
23	608.6010775
24	592.4514233
25	577.1408023
26	562.2271505
27	548.7738012
28	535.5040792
29	522.46388
30	510.8431569
31	498.7218235
32	487.352353
33	476.6946044
34	466.5648192
35	456.7735799
36	447.5143894
37	438.9517436
38	430.86032
39	422.8615648
40	415.0969275
41	407.7258842
42	400.6005666
43	394.0262022
44	387.3849966
45	381.5791756
46	376.2618182
47	371.1209625
48	365.6575662
49	360.8456567
50	356.4502969
51	352.1654036
52	348.0001592
53	343.6268503
54	339.8353849
55	336.2970612
56	332.9970398
57	329.8521555
58	326.7082087
59	323.8085179
60	320.7092584
61	318.1174298
62	315.3831496
63	313.3055781
64	311.0792721
65	308.594145
66	306.6047478
67	304.5011879
68	302.591759
69	300.7125095
70	299.0156206
71	297.2000698
72	295.4846664
73	293.8350824
74	292.5457053
75	291.2822578
76	289.5681414
77	287.7043188
78	286.4599258
79	285.3516336
80	284.229913
81	283.0758125
82	281.8476082
83	280.705185
84	279.8697007
85	279.024598
86	277.6657747
87	276.9622884
88	276.2014106
89	275.2664456
90	274.3498612
91	273.6376725
92	272.507307
93	271.614017
94	271.0295342
95	270.0592644
96	269.2537894
97	268.5918942
98	267.6767606
99	267.2088984
100	266.5741811
101	266.1949614
102	265.6312695
103	265.1152155
104	264.6665097
105	264.1308761
106	263.5252273
107	262.9070839
108	262.3840545
109	261.9486761
110	261.376346
111	261.1382513
112	260.5055713
113	260.1343405
114	259.8386006
115	259.5609419
116	259.1251791
117	258.8238466
118	258.5497988
119	257.8311446
120	257.5054674
121	257.1449665
122	256.8598227
123	256.5458404
124	256.3412378
125	255.6244263
126	254.927261
127	254.6997169
128	254.0762195
129	253.7982647
130	253.5418371
131	253.1438225
132	252.7968184
133	252.6213513
134	252.3637961
135	252.0626471
136	251.8689116
137	251.4204011
138	250.7813711
139	250.4931418
140	250.3290456
141	249.8680147
142	249.6614046
143	249.435862
144	249.3262025
145	249.0949052
146	248.3993468
147	247.8924478
148	247.7724541
149	247.633753
150	247.3721932
151	247.0200406
152	246.8650118
153	246.3490311
154	245.9531151
155	245.7539306
156	245.1370186
157	244.951265
158	244.8017424
159	244.609992
160	244.2982029
161	243.8867494
162	243.3991616
163	243.1662307
164	242.6512455
165	242.2952062
166	242.1600988
167	242.0525959
168	241.824417
169	241.4257546
170	241.2731505
171	240.8421445
172	240.4602758
173	239.9794067
174	239.685054
175	239.5977314
176	239.4820948
177	239.0438343
178	238.89875
179	238.7200394
180	238.5571816
181	238.4133227
182	237.8915845
183	237.6271997
184	237.3735299
185	237.1082655
186	236.631165
187	236.4986075
188	236.2358823
189	236.094199
190	235.5818393
191	234.9643104
192	234.5972725
193	234.1967738
194	234.0692069
195	233.7598223
196	233.6166225
197	233.5601162
198	233.3250845
199	233.0060808
200	232.6901938
201	232.4655949
202	232.1798178
203	232.0359096
204	231.8821232
205	231.6431915
206	231.4682496
207	231.2135085
208	230.9747788
209	230.5540345
210	230.312058
211	230.0746489
212	229.9710071
213	229.9187692
214	229.7937752
215	229.677698
216	229.6173053
217	229.5631282
218	229.432228
219	229.30375
220	229.0606297
221	228.8833459
222	228.6415427
223	228.5300356
224	228.4288244
225	228.0712705
226	227.8211209
227	227.3811477
228	227.1831546
229	226.9565918
230	226.5981278
231	226.3642568
232	226.1147658
233	225.8977036
234	225.5768293
235	225.4287475
236	225.2661349
237	225.1287286
238	225.0088053
239	224.9311125
240	224.815179
241	224.7065852
242	224.3664719
243	224.0875022
244	224.0159145
245	223.8394367
246	223.7199481
247	223.5743006
248	223.4675037
249	223.2239287
250	222.8279546
251	222.6567318
252	222.4829022
253	222.3803909
254	222.2742061
255	222.0674303
256	221.6692218
257	221.3843047
258	221.108889
259	221.0622908
260	220.8567977
261	220.7066931
262	220.5924658
263	220.2894973
264	220.1539532
265	220.049862
266	219.7929752
267	219.6825188
268	219.5809972
269	219.5189296
270	219.2807622
271	219.1326345
272	219.0678796
273	218.8389211
274	218.7374549
275	218.6002411
276	218.3799488
277	218.0064278
278	217.7650824
279	217.6687823
280	217.5455715
281	217.3812424
282	217.2564425
283	217.2050919
284	217.1252411
285	216.9773631
286	216.8399044
287	216.6368792
288	216.4614775
289	216.266831
290	216.0056303
291	215.7561674
292	215.5114833
293	215.2937808
294	215.1361775
295	215.0214955
296	214.8298479
297	214.5846253
298	214.4906361
299	214.2763884
300	214.177577
301	213.9780518
302	213.8089685
303	213.6212878
304	213.4176753
305	213.3442378
306	213.1303347
307	213.0319035
308	212.9071569
309	212.8120565
310	212.4788225
311	212.2518643
312	212.0614493
313	211.8778785
314	211.744172
315	211.5633808
316	211.4093065
317	211.1713476
318	211.0538121
319	210.905712
320	210.6064783
321	210.4226419
322	210.3308158
323	210.2384305
324	210.0365303
325	209.9627786
326	209.8511424
327	209.5601374
328	209.4567536
329	209.3142908
330	209.0448431
331	208.9686175
332	208.8041428
333	208.5841288
334	208.413757
335	208.2094506
336	208.0031163
337	207.9069714
338	207.7802021
339	207.7081566
340	207.650037
341	207.5076974
342	207.3185304
343	207.1324815
344	206.9746061
345	206.8180719
346	206.6899
347	206.5989733
348	206.3924666
349	206.1433558
350	206.0522535
351	205.8578125
352	205.7256775
353	205.6275388
354	205.5487687
355	205.3880961
356	205.0215836
357	204.8455375
358	204.5574221
359	204.4066346
360	204.1360101
361	203.8198223
362	203.7542849
363	203.676872
364	203.5309204
365	203.2523407
366	203.0754459
367	203.0116407
368	202.8533903
369	202.7893823
370	202.7240664
371	202.6323438
372	202.4556087
373	202.3862019
374	202.2479769
375	202.0867012
376	201.7965766
377	201.687746
378	201.6202776
379	201.5581774
380	201.4359298
381	201.1255737
382	200.9607271
383	200.7533277
384	200.6180284
385	200.4576673
386	200.2914131
387	200.2021609
388	199.9819917
389	199.8689467
390	199.6642102
391	199.5207694
392	199.3639987
393	199.2845021
394	199.1733379
395	199.0195676
396	198.9632389
397	198.8811979
398	198.7381863
399	198.6270554
400	198.5815117
401	198.4812294
402	198.3916394
403	198.3062861
404	198.1485954
405	198.0036389
406	197.9615041
407	197.8236198
408	197.7469703
