iter	Passed	Remaining
0	5	4629
1	11	4452
2	16	4354
3	21	4359
4	27	4312
5	32	4279
6	37	4282
7	43	4277
8	49	4389
9	55	4419
10	61	4429
11	67	4432
12	73	4440
13	81	4563
14	88	4646
15	94	4639
16	100	4629
17	106	4615
18	111	4601
19	117	4588
20	123	4578
21	129	4570
22	135	4570
23	141	4568
24	147	4566
25	153	4562
26	159	4554
27	165	4563
28	171	4550
29	177	4555
30	183	4555
31	189	4544
32	195	4538
33	201	4529
34	208	4550
35	214	4545
36	220	4539
37	225	4531
38	231	4523
39	237	4515
40	243	4505
41	248	4493
42	254	4484
43	260	4477
44	268	4511
45	275	4518
46	281	4508
47	287	4498
48	292	4487
49	298	4479
50	304	4471
51	310	4460
52	315	4451
53	321	4443
54	328	4454
55	335	4451
56	340	4441
57	346	4434
58	352	4426
59	358	4417
60	364	4418
61	370	4413
62	376	4406
63	382	4399
64	388	4391
65	394	4384
66	399	4375
67	405	4367
68	412	4366
69	418	4361
70	424	4355
71	429	4345
72	435	4337
73	441	4329
74	446	4320
75	452	4312
76	458	4303
77	464	4295
78	469	4288
79	475	4280
80	481	4273
81	487	4267
82	493	4262
83	499	4255
84	504	4247
85	510	4241
86	516	4233
87	522	4225
88	527	4217
89	536	4230
90	542	4228
91	548	4223
92	554	4215
93	560	4207
94	565	4199
95	571	4193
96	577	4185
97	583	4177
98	588	4170
99	594	4163
100	600	4156
101	606	4147
102	611	4139
103	617	4132
104	623	4126
105	629	4119
106	634	4111
107	640	4104
108	646	4097
109	653	4099
110	659	4094
111	665	4088
112	671	4081
113	677	4075
114	682	4067
115	688	4060
116	694	4052
117	700	4051
118	706	4043
119	712	4036
120	717	4028
121	723	4021
122	729	4014
123	734	4006
124	741	4002
125	746	3994
126	752	3987
127	758	3980
128	763	3972
129	769	3965
130	775	3958
131	780	3950
132	786	3943
133	791	3936
134	798	3934
135	804	3929
136	810	3922
137	815	3912
138	821	3906
139	827	3901
140	833	3894
141	838	3887
142	844	3880
143	850	3874
144	856	3869
145	863	3867
146	869	3863
147	875	3857
148	881	3850
149	887	3843
150	892	3837
151	898	3831
152	904	3826
153	910	3820
154	916	3814
155	922	3807
156	928	3801
157	933	3794
158	939	3789
159	945	3783
160	951	3776
161	957	3770
162	963	3764
163	970	3762
164	976	3757
165	982	3751
166	988	3745
167	993	3738
168	999	3731
169	1005	3724
170	1010	3718
171	1016	3711
172	1022	3705
173	1028	3698
174	1034	3694
175	1039	3687
176	1047	3687
177	1054	3684
178	1059	3676
179	1065	3670
180	1071	3664
181	1077	3657
182	1082	3651
183	1088	3644
184	1094	3638
185	1100	3632
186	1107	3629
187	1113	3623
188	1118	3616
189	1124	3609
190	1130	3603
191	1135	3596
192	1142	3594
193	1150	3595
194	1156	3588
195	1162	3581
196	1167	3574
197	1173	3567
198	1179	3561
199	1184	3554
200	1190	3548
201	1196	3543
202	1203	3538
203	1209	3533
204	1216	3529
205	1222	3525
206	1229	3521
207	1235	3517
208	1241	3511
209	1248	3507
210	1257	3509
211	1263	3505
212	1269	3498
213	1275	3491
214	1280	3484
215	1286	3478
216	1292	3471
217	1297	3465
218	1304	3460
219	1309	3453
220	1315	3447
221	1321	3440
222	1327	3434
223	1333	3429
224	1339	3422
225	1344	3415
226	1350	3408
227	1356	3402
228	1362	3396
229	1367	3389
230	1374	3385
231	1380	3378
232	1385	3372
233	1391	3365
234	1397	3358
235	1402	3351
236	1408	3344
237	1413	3337
238	1419	3331
239	1424	3324
240	1430	3317
241	1435	3311
242	1441	3304
243	1447	3298
244	1453	3292
245	1458	3285
246	1464	3278
247	1470	3272
248	1475	3265
249	1481	3259
250	1487	3252
251	1493	3247
252	1500	3244
253	1506	3239
254	1513	3234
255	1519	3228
256	1525	3222
257	1531	3218
258	1539	3214
259	1544	3208
260	1550	3201
261	1556	3195
262	1561	3188
263	1567	3182
264	1572	3175
265	1579	3170
266	1584	3163
267	1590	3157
268	1596	3151
269	1602	3144
270	1608	3138
271	1613	3132
272	1619	3126
273	1625	3120
274	1631	3113
275	1636	3107
276	1642	3100
277	1648	3094
278	1654	3088
279	1659	3082
280	1665	3076
281	1671	3070
282	1677	3064
283	1682	3057
284	1688	3051
285	1694	3044
286	1701	3041
287	1707	3035
288	1713	3029
289	1718	3022
290	1724	3016
291	1730	3009
292	1735	3003
293	1741	2997
294	1746	2990
295	1752	2984
296	1759	2979
297	1765	2973
298	1770	2967
299	1776	2960
300	1781	2954
301	1787	2947
302	1793	2941
303	1799	2936
304	1805	2930
305	1811	2924
306	1816	2917
307	1822	2911
308	1828	2905
309	1833	2898
310	1839	2892
311	1845	2886
312	1851	2881
313	1858	2875
314	1863	2869
315	1869	2863
316	1875	2857
317	1881	2851
318	1886	2845
319	1892	2838
320	1898	2832
321	1903	2826
322	1909	2820
323	1915	2814
324	1922	2809
325	1928	2804
326	1934	2798
327	1941	2793
328	1946	2787
329	1952	2780
330	1958	2775
331	1964	2769
332	1970	2763
333	1976	2757
334	1982	2751
335	1988	2746
336	1994	2740
337	2000	2734
338	2006	2728
339	2012	2722
340	2017	2716
341	2023	2710
342	2029	2704
343	2036	2699
344	2042	2694
345	2048	2688
346	2054	2682
347	2060	2675
348	2065	2669
349	2072	2664
350	2078	2658
351	2084	2652
352	2089	2646
353	2096	2640
354	2101	2634
355	2107	2628
356	2113	2622
357	2120	2618
358	2126	2612
359	2132	2606
360	2138	2600
361	2144	2594
362	2150	2588
363	2155	2582
364	2161	2575
365	2167	2569
366	2172	2563
367	2178	2557
